year,month,district_id,lat,lon,coastal,dry_belt,oni,dmi,mjo_amplitude,mjo_phase,onset_target,break_target,heavy_target
2008,8,MH-NAS,19.9975,73.7898,0,1,-0.2,0.124,1.211697393548387,2.0,0.6774193548387096,0.25806451612903225,0.0967741935483871
2008,9,MH-NAS,19.9975,73.7898,0,1,-0.25,0.086,1.446583400333333,5.0,0.8,0.16666666666666666,0.06666666666666667
2009,6,MH-NAS,19.9975,73.7898,0,1,0.34,0.1,1.4584701413333332,8.0,0.23333333333333334,0.6666666666666666,0.0
2009,7,MH-NAS,19.9975,73.7898,0,1,0.5,-0.192,0.6150665787096774,5.0,0.8387096774193549,0.0,0.0967741935483871
2009,8,MH-NAS,19.9975,73.7898,0,1,0.56,-0.104,1.12875141,1.0,0.5806451612903226,0.22580645161290322,0.0
2009,9,MH-NAS,19.9975,73.7898,0,1,0.66,-0.103,1.6812911126666668,4.0,0.36666666666666664,0.3,0.03333333333333333
2010,6,MH-NAS,19.9975,73.7898,0,1,-0.66,-0.14,1.285590429,2.0,0.4,0.5333333333333333,0.0
2010,7,MH-NAS,19.9975,73.7898,0,1,-0.98,-0.001,1.663601914516129,1.0,0.22580645161290322,0.3548387096774194,0.0
2010,8,MH-NAS,19.9975,73.7898,0,1,-1.24,-0.061,0.747917844516129,1.0,0.5483870967741935,0.3870967741935484,0.0
2010,9,MH-NAS,19.9975,73.7898,0,1,-1.43,-0.267,0.8091414173333332,1.0,0.2,0.43333333333333335,0.0
2011,6,MH-NAS,19.9975,73.7898,0,1,-0.34,0.055,0.6791252076666666,2.0,0.0,0.8,0.0
2011,7,MH-NAS,19.9975,73.7898,0,1,-0.37,0.223,1.0109919648387098,1.0,0.4838709677419355,0.2903225806451613,0.0
2011,8,MH-NAS,19.9975,73.7898,0,1,-0.5,0.344,1.011544473516129,2.0,0.3548387096774194,0.25806451612903225,0.0
2011,9,MH-NAS,19.9975,73.7898,0,1,-0.76,0.202,0.9066917783333334,3.0,0.26666666666666666,0.5666666666666667,0.0
2014,6,MH-NAS,19.9975,73.7898,0,1,0.22,-0.028,1.108679051,4.0,0.0,0.7,0.0
2014,7,MH-NAS,19.9975,73.7898,0,1,0.07,-0.363,1.1528067432258065,6.0,0.41935483870967744,0.5161290322580645,0.0
2014,8,MH-NAS,19.9975,73.7898,0,1,0.07,-0.372,1.2150309538709676,2.0,0.6129032258064516,0.1935483870967742,0.0
2014,9,MH-NAS,19.9975,73.7898,0,1,0.24,-0.145,0.649377995,4.0,0.4666666666666667,0.3333333333333333,0.0
2015,6,MH-NAS,19.9975,73.7898,0,1,1.19,0.296,1.992920383333333,4.0,0.26666666666666666,0.4666666666666667,0.0
2015,7,MH-NAS,19.9975,73.7898,0,1,1.44,0.225,1.837990334516129,7.0,0.22580645161290322,0.6451612903225806,0.0
2015,8,MH-NAS,19.9975,73.7898,0,1,1.73,0.568,0.8428048241935484,8.0,0.12903225806451613,0.8064516129032258,0.0
2015,9,MH-NAS,19.9975,73.7898,0,1,2.02,0.294,0.62977513528,1.0,0.4666666666666667,0.4,0.03333333333333333
2016,6,MH-NAS,19.9975,73.7898,0,1,0.09,-0.443,1.5598082686666668,4.0,0.0,0.7,0.0
2016,7,MH-NAS,19.9975,73.7898,0,1,-0.19,-0.757,1.0086871877419354,2.0,0.5161290322580645,0.12903225806451613,0.03225806451612903
2016,8,MH-NAS,19.9975,73.7898,0,1,-0.34,-0.443,1.3634238690322582,6.0,0.41935483870967744,0.5161290322580645,0.06451612903225806
2016,9,MH-NAS,19.9975,73.7898,0,1,-0.42,-0.437,0.9987363606666668,5.0,0.3,0.5333333333333333,0.0
2017,6,MH-NAS,19.9975,73.7898,0,1,0.32,0.424,1.010765505,1.0,0.43333333333333335,0.3,0.0
2017,7,MH-NAS,19.9975,73.7898,0,1,0.14,0.52,1.0194311058064516,3.0,0.8387096774193549,0.0967741935483871,0.0
2017,8,MH-NAS,19.9975,73.7898,0,1,-0.07,0.349,0.560064344016129,2.0,0.4838709677419355,0.45161290322580644,0.0
2017,9,MH-NAS,19.9975,73.7898,0,1,-0.23,0.035,0.5864452456666667,4.0,0.5333333333333333,0.26666666666666666,0.0
2018,6,MH-NAS,19.9975,73.7898,0,1,0.13,0.155,1.099695321,1.0,0.16666666666666666,0.43333333333333335,0.0
2018,7,MH-NAS,19.9975,73.7898,0,1,0.2,0.053,1.4670566325806451,6.0,0.5161290322580645,0.16129032258064516,0.0
2018,8,MH-NAS,19.9975,73.7898,0,1,0.3,0.121,1.1604823280645162,6.0,0.3548387096774194,0.3225806451612903,0.0
2018,9,MH-NAS,19.9975,73.7898,0,1,0.52,0.604,1.0746740603333331,8.0,0.0,0.7666666666666667,0.0
2020,6,MH-NAS,19.9975,73.7898,0,1,-0.18,0.455,1.3547168013333333,1.0,0.5666666666666667,0.23333333333333334,0.03333333333333333
2020,7,MH-NAS,19.9975,73.7898,0,1,-0.29,0.319,1.5012130690322585,2.0,0.3548387096774194,0.3225806451612903,0.0
2020,8,MH-NAS,19.9975,73.7898,0,1,-0.43,-0.183,1.5708076487096774,8.0,0.7096774193548387,0.0,0.0
2020,9,MH-NAS,19.9975,73.7898,0,1,-0.77,-0.189,1.1078213236666663,4.0,0.7333333333333333,0.03333333333333333,0.0
2021,6,MH-NAS,19.9975,73.7898,0,1,-0.31,-0.002,1.2543668813333333,1.0,0.3,0.26666666666666666,0.0
2021,7,MH-NAS,19.9975,73.7898,0,1,-0.35,-0.229,1.2697446645161292,2.0,0.3548387096774194,0.22580645161290322,0.0
2021,8,MH-NAS,19.9975,73.7898,0,1,-0.46,-0.099,1.3328496390322582,2.0,0.2903225806451613,0.45161290322580644,0.0
2021,9,MH-NAS,19.9975,73.7898,0,1,-0.64,-0.058,1.16716908,3.0,0.4666666666666667,0.3,0.0
2022,6,MH-NAS,19.9975,73.7898,0,1,-0.73,-0.335,1.7460144566666669,1.0,0.23333333333333334,0.5,0.0
2022,7,MH-NAS,19.9975,73.7898,0,1,-0.7,-0.195,0.9906527754838708,4.0,0.6451612903225806,0.0,0.03225806451612903
2022,8,MH-NAS,19.9975,73.7898,0,1,-0.78,-0.246,0.962351660967742,2.0,0.4838709677419355,0.25806451612903225,0.0
2022,9,MH-NAS,19.9975,73.7898,0,1,-0.87,-0.322,0.45954351401,4.0,0.8333333333333334,0.13333333333333333,0.06666666666666667
2023,6,MH-NAS,19.9975,73.7898,0,1,0.73,0.665,1.1452140906,2.0,0.03333333333333333,0.9,0.0
2023,7,MH-NAS,19.9975,73.7898,0,1,1.0,0.498,0.7976125261290323,6.0,0.3548387096774194,0.0967741935483871,0.0
2023,8,MH-NAS,19.9975,73.7898,0,1,1.25,0.826,0.9138732870967742,8.0,0.0967741935483871,0.7741935483870968,0.0
2023,9,MH-NAS,19.9975,73.7898,0,1,1.5,0.946,0.8482362092433333,4.0,0.5,0.3333333333333333,0.03333333333333333
1990,6,MH-AUR,19.8762,75.3433,0,1,0.25,-0.568,0.7040596286666666,6.0,0.43333333333333335,0.4666666666666667,0.0
1990,7,MH-AUR,19.8762,75.3433,0,1,0.26,-0.246,0.7642434731967742,1.0,0.22580645161290322,0.41935483870967744,0.0
1990,8,MH-AUR,19.8762,75.3433,0,1,0.32,-0.391,0.8801470647322581,6.0,0.6451612903225806,0.16129032258064516,0.0
